work_qid,description,says_award
Q932592,"After the defeat of the Mule by the Second Foundation, Terminus enjoys a period of prosperity and stability which is publicly attributed to the Seldon Plan, but which some feel is the work of the Second Foundation.  A search is begun to determine if the Second Foundation still exists.  Meanwhile, the Second Foundation finds that there is evidence of an independent force acting against the Mule to protect the Seldon Plan.  A search is launched to determine what this force is and if it is a threat.  The end result is a search for Earth (Terminus being the last planet settled by the galactic empire and Earth being the metaphoric opposite of first human planet settled).  A final three way confrontation results in a fateful decision and an open question.",0
Q44900825,"From Daryl Gregory, whose Pandemonium was one of the most exciting debut novels in memory, comes an astonishing work of soaring imaginative power that breaks new ground in contemporary fantasy. Switchcreek was a normal town in eastern Tennessee until a mysterious disease killed a third of its residents and mutated most of the rest into monstrous oddities. Then, as quickly and inexplicably as it had struck, the disease–dubbed Transcription Divergence Syndrome (TDS)–vanished, leaving behind a population divided into three new branches of humanity: giant gray-skinned argos, hairless seal-like betas, and grotesquely obese charlies. Paxton Abel Martin was fourteen when TDS struck, killing his mother, transforming his preacher father into a charlie, and changing one of his best friends, Jo Lynn, into a beta. But Pax was one of the few who didn’t change. He remained as normal as ever. At least on the outside. Having fled shortly after the pandemic, Pax now returns to Switchcreek fifteen years later, following the suicide of Jo Lynn. What he finds is a town seething with secrets, among which murder may well be numbered. But there are even darker–and far weirder–mysteries hiding below the surface that will threaten not only Pax’s future but the future of the whole human race.",1
Q69527499,"In 2144, Jack Chen is a chemist who reverse engineers patented pharmaceuticals to manufacture generic versions which she sells on the black market. She lives on a submarine in the Arctic Sea, outside of the Free Trade Zone, an economic union which covers the majority of North America. Jack steals an experimental drug called Zacuity, a ""productivity enhancer"" which causes the user to experience a pleasurable sensation while working. Jack discovers that the drug has addictive properties intentionally engineered by Zaxy, the corporation that created it. After several hospitalizations and deaths are connected to black market Zacuity, Jack finds herself on the run from legal authorities. She is joined by Threezed, an escaped indentured human.

Paladin is a newly-activated combat robot owned by the International Property Coalition, or IPC, an international law enforcement organization that handles patent infringement. They[a] are assigned to handle the Zacuity case alongside Eliasz, a human agent who enjoys the violent aspects of his work. Paladin is indentured to Eliasz and incapable of acting autonomously. While at a shooting range with Paladin, Eliasz becomes aroused. Eliasz berates Paladin using homophobic slurs after they question him about it, as he perceives Paladin as male and is ashamed by his arousal.

Flashbacks reveal that 30 years ago Jack was in a relationship with Krish Patel, a fellow bioengineer and anti-patent activist, but they had a falling out which led to Jack's turn to piracy. In the present, Jack and Threezed head to Krish's lab in Saskatoon. They pass through Yellowknife, where they meet Med, an autonomous robot who has been independently researching the Zacuity cases. Med joins Jack and Threezed at Krish's lab, where they develop a drug called RetCon intended to be a counteractive to the addictive properties of Zacuity. After publishing RetCon for public use, Med and Threezed find out that it cures Zacuity addiction but people who were addicted for too long become somehow averse to working.

Meanwhile, Eliasz is drugged while undercover at a party in Casablanca, and Eliasz and Paladin have sex. Paladin tells Eliasz that their brain came from a female soldier, and Eliasz begins to refer to Paladin as female. Eliasz travels to Las Vegas and sends Paladin to Vancouver. In order to go undercover in Vancouver's community of autonomous bots, Paladin is given a temporary ""autonomy key"". While autonomous, Paladin examines their own programming and learns that they are programmed to feel a strong sense of attachment to Eliasz.

Eliasz arrives in Vancouver and reconnects with Paladin. Eliasz and Paladin find Krish's lab and confront Krish and Med. Eliasz tortures Krish and kills him after learning Jack's location in Moose Jaw. Jack sets a trap and manages to hold Paladin and Eliasz off long enough for Med and Threezed to arrive. Paladin is gravely wounded in the ensuing fight, and Eliasz has the opportunity to shoot Jack but chooses instead to go back for Paladin.

Jack is officially presumed dead after the firefight. Med publishes her research into Retcon and the drug becomes a widespread treatment for Zacuity addicts. Zaxy conducts a successful PR campaign denying the claims that the black market drug was the same as Zacuity. Paladin recovers from their damage with their autonomy intact but is no longer recognized by the IPC, and Eliasz and Paladin depart together for Mars.

",0
Q131382890,"From the critically acclaimed author of Jennifer Government and Lexicon comes mind-bending speculative psychological suspense about a serial killer pursuing his victim across time and space, and the woman who is determined to stop him, even if it upends her own reality. ""I love you. In every world."" Young real estate agent Madison May is shocked when a client at an open house says these words to her. The man, a stranger, seems to know far too much about her, and professes his love--shortly before he murders her. Felicity Staples hates reporting on murders. As a journalist for a midsize New York City paper, she knows she must take on the assignment to research Madison May's shocking murder, but the crime seems random and the suspect is in the wind. That is, until Felicity spots the killer on the subway, right before he vanishes. Soon, Felicity senses her entire universe has shifted. No one remembers Madison May, or Felicity's encounter with the mysterious man. And her cat is missing. Felicity realizes that in her pursuit of Madison's killer, she followed him into a different dimension--one where everything about her existence is slightly altered. At first, she is determined to return to the reality she knows, but when Madison May--in this world, a struggling actress--is murdered again, Felicity decides she must find the killer--and learns that she is not the only one hunting him. Traveling through different realities, Felicity uncovers the opportunity--and danger--of living more than one life.",1
Q3015377,"From the back cover Warner paperback February 2004:

2019: NASA astronaut Nigel Walmsley is sent on a mission to intercept a rogue asteroid on a collision course with Earth.  Ordered to destroy the comet, he instead discovers that it is actually the shell of a derelict space probe -- a wreck with just enough power to emit a single electronic signal...

2034: Then a reply is heard.  Searching for the source of this signal that comes from outside the solar system, Nigel discovers the existence of a sentient ship.  When the new vessel begins to communicate directly with him, the astronaut learns of the horrors that await humanity.  For the ship was created by an alien race that has spent billions and billions of years searching for intelligent life... to annihilate it.",0
Q131376807,"Molly Glass turns her attention to the frontiers of the future when the families of our planet Earth voyage out to the stars to settle new worlds, to survive unknown and unpredictable hardships, and to make new human homes.",0
Q20166701,"WINNER OF THE BSFA AWARD FOR BEST NOVEL Jack Glass is the murderer. We know this from the start. Yet as this extraordinary novel tells the story of three murders committed by Glass the reader will be surprised to find out that it was Glass who was the killer and how he did it. And by the end of the book our sympathies for the killer are fully engaged. Riffing on the tropes of crime fiction (the country house murder, the locked room mystery) and imbued with the feel of golden age SF, JACK GLASS is another bravura performance from Roberts. Whatever games he plays with the genre, whatever questions he asks of the reader, Roberts never loses sight of the need to entertain and JACK GLASS has some wonderfully gruesome moments, is built around three gripping HowDunnits and comes with liberal doses of sly humour. Roberts invites us to have fun and tricks us into thinking about both crime and SF via a beautifully structured novel set in a society whose depiction challanges notions of crime, punishment, power and freedom. It is an extraordinary novel.",1
Q131414061,"A biblical betrayal drives this trilogy from the World Fantasy Award–winning author, “a singular American fabulist” (William Gibson, author of Neuromancer). The price of immortality . . . Two thousand years ago, there lived a man who sold some valuable information for a fee of thirty silver coins. His name was Judas Iscariot, and he is no longer with us. The coins, however, still exist—and still hold an elusive power over all who claim them . . . Like Andrew Vanbergen, whose attempts at innkeeping bring in stranger business than he ever expected. And Aunt Naomi, whose most prized family heirloom is a silver spoon—with a curiously ancient-looking engraving. And especially old Mr. Pennyman, who is only five silver coins short of immortality . . . “The Last Coin should confirm Blaylock’s position as a trendsetter, breaking new ground rather than just exploring the old.” —San Francisco Chronicle “Against a lyric vision of the Southern California coast, cosmic conspiracy theories bump heads in a gleeful farce to produce another strange and wonderful book from the idiosyncratic author of Homunculus and Land of Dreams.” —Publishers Weekly “Weird and wonderful touches abound; Blaylock makes good use of his coastal setting, extracting his own brand of magic from familiar places and familiar things. While Biblical conspiracies and revisionist scriptures are all the rage now, Blaylock got the jump on the current crop by several years.” —SFF Chronicles",1
Q20645702,"One snowy night Arthur Leander, a famous actor, has a heart attack onstage during a production of ""King Lear."" Jeevan Chaudhary, a paparazzo-turned-EMT, is in the audience and leaps to his aid. A child actress named Kirsten Raymonde watches in horror as Jeevan performs CPR, pumping Arthur's chest as the curtain drops, but Arthur is dead. That same night, as Jeevan walks home from the theater, a terrible flu begins to spread. Hospitals are flooded and Jeevan and his brother barricade themselves inside an apartment, watching out the window as cars clog the highways, gunshots ring out, and life disintegrates around them. Fifteen years later, Kirsten is an actress with the Traveling Symphony. Together, this small troupe moves between the settlements of an altered world, performing Shakespeare and music for scattered communities of survivors. Written on their caravan, and tattooed on Kirsten's arm is a line from Star Trek: ""Because survival is insufficient."" But when they arrive in St. Deborah by the Water, they encounter a violent prophet who digs graves for anyone who dares to leave.

In a future in which a pandemic has left few survivors, actress Kirsten Raymonde travels with a troupe performing Shakespeare and finds herself in a community run by a deranged prophet. The plot contains mild profanity and violence.",0
Q3294970,"In the Nebula Award winning Red Mars, Kim Stanley Robinson began his critically acclaimed epic saga of the colonization of Mars, Now the Hugo Award winning Green Mars continues the thrilling and timeless tale of humanity's struggle to survive at its farthest frontier.Nearly a generation has passed since the first pioneers landed, but the transformation of Mars to an Earthlike planet has just begun The plan is opposed by those determined to preserve the planets hostile, barren beauty. Led by rebels like Peter Clayborne, these young people are the first generation of children born on Mars. They will be joined by original settlers Maya Toitovna, Simon Frasier, and Sax Russell. Against this cosmic backdrop, passions, rivalries, and friendships explode in a story as spectacular as the planet itself.From the Paperback edition.",1
Q2915291,"A belief is spreading in conquered China that the government has lost the Mandate of Heaven. Han Tzu meets up with Mazer Rackham, who passes him a blow dart pen, calling it the ""Mandate of Heaven"". Han Tzu confronts the emperor, Snow Tiger, who is shot and killed by a guard, allowing Han Tzu to overthrow the Chinese government and install himself as the new emperor.  Meanwhile, Peter Wiggin, Hegemon of Earth, along with Petra Arkanian, goes to visit Alai, Caliph of the Muslim League. The two help Alai realize that he is little more than a glorified prisoner, and that others have been ruling Islam in his stead. After uncovering a conspiracy against him, Alai resolves to take firmer control of his nation and guarantee the human rights of his subjugated peoples.

The rest of the book deals with Peter Wiggin working to create a world government free of war through his Free People of Earth (FPE) alliance. Caliph Alai of the Muslim League and Virlomi, now the virtual goddess of India, oppose his efforts.  Against this backdrop of world political machinations by the former Battle School children is the extremely personal story of Julian (Bean) Delphiki. Anton's Key is making him grow at an astounding rate and he has only a short time before his body will become too large for his heart to support.  He searches frantically for his and Petra's missing children. Graff assists them in locating the surrogate mothers of their children. While Bean and Petra wait for news, Graff extends invitations to the other members of Ender's Jeesh to leave Earth and rule colonies, where they can conquer to their heart's content without causing needless wars between themselves, and instructs Bean to support Peter in forming the FPE.

The FPE alliance begins with only twenty-two countries, among them  Brazil, Rwanda, and the Netherlands. The first test of the FPE comes when they recognize the sovereignty and nationhood of the Nubian, Quechua, and Aymara peoples, ethnic minorities that are politically part of other nations.  Peru and Sudan send troops against these ""rebel"" strongholds, but Peter defends them using Bean and Suriyawong, leading Rwandan and Thai troops, to show that war against one FPE member is war against all of them. The FPE's victories, and especially their militarily brilliant commanders, bolster support for the FPE, and nations begin to freely vote on whether to join it.

Meanwhile, Bean suspects that Peter is embezzling Ender's military pension to fund the FPE, so he requests that Ender's funds be placed under the control of an autonomous computer. Colonel Graff has the Mind Game reprogrammed to accurately predict financial markets and turns it loose over the ansible network, where it continues to invest Ender's pension and, as revealed later in the Enderverse chronology, eventually evolves into the artificial intelligence known as Jane. The Mind Game also speeds the search for Bean's missing children, allowing the International Fleet to find eight of them;  two of whom have Anton's Key turned, as does the baby Petra is carrying.  The ninth remains undetected, as Achilles had it implanted into a woman named Randi, brainwashed to think that it is the baby of Achilles, whom she worships as a hero assassinated by foul enemies.  To avoid persecution, Randi determines to leave Earth and live in a colony, where she can raise her child (who appears to have Anton's Key turned, as the baby is born prematurely) to follow in Achilles' footsteps.  Her story, and that of her child Randall Firth, is concluded in Card's later novel Ender in Exile.

Virlomi attempts to guarantee India's freedom via dynastic marriage, turning down an offer from Han Tzu to instead attempt to seduce Peter Wiggin.  When Peter turns her down, she turns to Alai whom she finds easier to outmaneuver.  Their new marriage is fraught with tension and Alai discovers that, despite his wife's status as an infidel and a woman, the more hotheaded members of his empire actually prefer her aggressive and expansionist policies.  Virlomi then declares war on China, setting off all manner of plots: Muslim hardliners attempt to assassinate Alai; Russia invades China and eastern Europe using ""contingency"" plans drawn up by a horrified Vlad; and Fly Molo of the Philippines is instructed to invade Taiwan, his nation suicidally confident in their Jeesh member.  In these different ways, all the Battle School grads are convinced to take up Graff's offer to travel the stars, realizing that their presence on Earth guarantees continued and wasteful war.  Even Virlomi agrees, after Suri manages to snap her out of her growing megalomania.

With the secret help of Mazer Rackham, Bean divorces Petra for her own sake, takes the three found children with Anton's Key, and flies away on a starship provided by the Fleet to achieve relativistic speeds and thereby stay alive long enough for medical researchers to find a cure.  Bean's departure breaks Petra's heart, but she becomes Peter's military commander, eventually marrying and having five children with him, though she never stops loving Bean. By the end of the novel, all of the world's nations, except the United States, have joined the FPE.  Peter reconciles with Ender via ansible, giving the ""Speaker for the Dead"" all he needs to write The Hegemon, a deeply felt and truthful biography of his brother. Petra reads his biography at his grave, thinking of him as the man who truly changed her life. Still, Bean remains the one whom she loves and has changed her life the most.[1]
",0
Q96107494,"The story takes place in the far future, on a tidally locked planet called ""January"". Humans live in the twilight zone, between the boiling heat of the sun-facing side and the frozen wasteland of the night side. Local inhabitants are mostly divided between two diametrically opposite urban locations: Xiosphant, an authoritarian city where citizens' actions are tightly controlled and any deviation is severely punished, and Argelo, a wild anarchy run by competing criminal gangs. On the fringe, traveling between the cities, are groups like the Citizens, who take the road as their home.

The plot alternates between two principal characters. Sophie, from Xiosphant, has both a position in an elite university and a crush on Bianca, her school roommate who is also a student radical. Sophie is expelled from the city and thrown into the freezing wilderness when she takes the blame for a theft committed by Bianca. There, she is rescued by the ""crocodiles"", who are not dangerous predators like humans think, but an intelligent native species, present long before the humans, which communicates telepathically. Sophie learns to communicate with them, and, with their aid, covertly returns to Xiosphant, with the understanding that she will continue coming back to visit them.[1]

The second main protagonist is Mouth, a former Citizen disturbed by the group's violent destruction on the road, as she attempts to build a new life as a trader. The two story arcs rapidly coalesce, with the connection being initially catalysed by Bianca looking for help with her political plans. This rapidly evolves into a series of dangerous travels that take the characters across the planet, from Xiosphant and Argelo to the unknown wilderness.[1]
",0
Q3015406,"**Read** *Down & Out in the Magic Kingdom* online at the **Internet Archive**.

**From the Back Cover**
""*He sparkles! He fizzes! He does backflips and breaks the furniture! Science fiction needs Cory Doctorow*."" 
--Bruce Sterling, author of The Hacker Crackdown and Distraction

**On The Skids In The Transhuman Future**

Jules is a young man barely a century old. He's lived long enough to see the cure for death and the end of scarcity, to learn ten languages and compose three symphonies ... and to realize his boyhood dream of taking up residence in Disney World.

Disney World! The greatest artistic achievement of the long-ago twentieth century. Now in the keeping of a network of ""ad-hocs"" who keep the classic attractions running as they always have, enhanced with only the smallest high-tech touches.

Now, though, the ""ad hocs"" are under attack. A new group has taken over the Hall of the Presidents, and is replacing its venerable audioanimatronics with new, immersive direct-to-brain interfaces that give guests the illusion of being Washington, Lincoln, and all the others. For Jules, this is an attack on the artistic purity of Disney World itself. 

Worse: it appears this new group has had Jules killed. This upsets him. (It's only his fourth death and revival, after all.) Now it's war ....


  [1]: http://ia600604.us.archive.org/6/items/DownAndOutInTheMagicKingdom/DownandOutITMK.pdf",0
Q41663473,"Approximately 30 years before the beginning of the novel, a small group of alien refugees (later termed the ""Gurus"") landed on Earth and soon made themselves indispensable with their contributions to human technology and scientific understanding.  In exchange, they ""requested"" Earth's help in repelling the hostile invaders (termed the ""antagonists"" or simply ""Antags"" or ""Ants"") who had chased the Gurus from their own star system, and were already establishing a beachhead on Mars.  The narrator of the novel is Master Sergeant Michael Venn of the multi-national force of ""Skyrines"" (spaceborne Marines) sent to Mars.
",0
Q131417704,"A 2023 Pick for Vulture | The Washington Post | Publishers Weekly | Men's Health | IGN | Polygon | Goodreads | Amazon | Nerd Daily | WeAreBookish | Paste | Books, Bones & Buffy | The Escapist | Paste Magazine | SciFixFantasy | Distractify | Gizmodo | Ms. Magazine | Booklist | Popsugar | Book Riot | Autostraddle | The Mary Sue & others Finalist for the American Library Association Carnegie Medal; finalist for the BSFA Award for Best Novel; finalist for the Nebula Award for Best Novel Inspired by a classic of martial arts literature, S. L. Huang's The Water Outlaws are bandits of devastating ruthlessness, unseemly femininity, dangerous philosophies, and ungovernable gender who are ready to make history—or tear it apart. ""This wuxia eat-the-rich tale is a knockout.""—Publishers Weekly, starred review In the jianghu, you break the law to make it your own. Lin Chong is an expert arms instructor, training the Emperor's soldiers in sword and truncheon, battle axe and spear, lance and crossbow. Unlike bolder friends who flirt with challenging the unequal hierarchies and values of Imperial society, she believes in keeping her head down and doing her job. Until a powerful man with a vendetta rips that carefully-built life away. Disgraced, tattooed as a criminal, and on the run from an Imperial Marshall who will stop at nothing to see her dead, Lin Chong is recruited by the Bandits of Liangshan. Mountain outlaws on the margins of society, the Liangshan Bandits proclaim a belief in justice—for women, for the downtrodden, for progressive thinkers a corrupt Empire would imprison or destroy. They’re also murderers, thieves, smugglers, and cutthroats. Apart, they love like demons and fight like tigers. Together, they could bring down an empire. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",1
Q131382750,"The Games are Forever! It's one thing to Qualify and Compete...Now she must Win. Gwen Lark, nerd, geek, and awkward smart girl, is among the lucky ones. She's one of several million teenage refugees to escape the extinction-level asteroid barreling towards Earth and reach the ancient colony planet of Atlantis. But Atlantis is a strange new world with higher gravity and a blazing white sun, where nothing is as expected. The new arrivals from Earth will now belong to the majority class of non-citizens who face a lifetime of hard work and limited rights.To make matters worse, Gwen's rare and powerful talent, her Logos voice, is viewed as a potential weapon to be exploited by the Imperator, as well as a threat to the Kassiopei Imperial Dynasty and its uncompromising control over the people of Atlantis. A last-minute heartbreak prior to arrival turns to joy, when Gwen receives a declaration of love from an unexpected source. The Wedding date is set, but before she can be joined with her true love, she is forced to compete in the brutal and deadly Games of the Atlantis Grail to save herself, her family, friends, and everything she cares about. Once again, her intelligence, quick thinking skills, resilience, and creativity are challenged to the breaking point. The Games are monumental, intricate, lethal . . . and the Games are Forever. This time Gwen must fight and figure her way through the most difficult and sophisticated contest she has ever faced. Terrifying Ordeals and impossible Challenges, ruthless skilled Competitors, vicious secret assassins, and dubious teammates she must work with but cannot trust, are just the beginning. . . .Meanwhile, as the Games rage, the fate of two worlds is at stake as a new alien threat looms over Earth and Atlantis. But Gwen Lark has a secret weapon of her own. It's not her Logos voice and its untapped power to control orichalcum technology and perpetuate change. It is Gwen herself. WIN is the third book in The Atlantis Grail series.",0
