title,authors,year,work_id,ol_ids,isbns,isdfb_ids,n_nom,n_win
Mathematicians in Love,Rudy Rucker,2007,,,,,1,0
The Mount,Carol Emshwiller,2003,1631644,OL464306W,978-1-931520-03-4;1-931520-03-8,,2,0
A Princess of Roumania,Paul Park,2006,,,,,1,0
Blue Remembered Earth,Alastair Reynolds,2013,,,978-0-575-08827-6;978-0-575-08828-3;978-80-242-6577-3,,2,0
Star Light,Hal Clement,1971,1405013,OL15005203W;OL10682891M,0-345-27358-3;978-0-345-27358-1,,1,0
Air,Geoff Ryman,2005,,,,,3,0
The Quiet Pools,Michael P. Kube-McDowell,1991,,,,,2,0
King David's Spaceship,Jerry Pournelle,1982,3090938,OL1840476W,,,1,0
Riddley Walker,Russell Hoban,1982,762606,OL74293W,0-224-01851-5;978-0-224-01851-7,,1,1
The Citadel of the Autarch,Gene Wolfe,1983,178614,OL14871898W,,,1,0
Memory,Linda Nagata,2004,,,,,2,0
The Ganymede Club,Charles Sheffield,1996,,,,,1,0
Earth,David Brin,1991,1218966,OL58705W,978-0-553-07064-4;0-553-07064-9,,2,0
The Hercules Text,Jack McDevitt,1987,2504767,OL7525691M,978-0-441-37367-3;0-441-37367-4,,1,0
The Gold Coast,Kim Stanley Robinson,1989,,,,,2,0
Timelike Infinity,Stephen Baxter,1994,,,,,1,0
Michaelmas,Algis Budrys,1978,,OL16062670W,,,1,0
The Innkeeper's Song,Peter S. Beagle,1994,,,,,1,0
Foundation's Edge,Isaac Asimov,1983,1725527,OL46302W,2-207-30357-8;84-02-09641-7;0-593-15998-5;978-0-385-17725-2;978-2-207-30357-3;978-84-02-09641-8;978-80-257-3765-1;978-80-7684-064-5;978-0-593-15998-9,,0,2
The Other End of Time,Frederik Pohl,1997,,,,,1,0
A Heritage of Stars,Clifford D. Simak,1978,743176,OL4088382W,978-0-399-11946-0;0-399-11946-9,,1,0
Ysabel,Guy Gavriel Kay,2008,100357,OL1988288W,978-0-451-46129-2;0-451-46129-0,,0,1
Oaths and Miracles,Nancy Kress,1997,,,,,1,0
Titan,Stephen Baxter,1998,62151,OL72858W,0-00-225424-7;978-0-00-225424-3;978-0-06-105259-0,,1,0
The Female Man,Joanna Russ,1975,,OL3332542W,978-0-8070-6299-9;978-0-575-09499-4;0-8070-6299-5,,1,0
Molly Zero,Keith Roberts,1981,,,,,1,0
Brittle Innings,Michael Bishop,1995,,,,,3,0
Dragondrums,Anne McCaffrey,1980,1592020,OL73375W,978-0-689-30685-3;0-689-30685-7,,1,0
The Girl in the Glass,Jeffrey Ford,2006,,,2-207-25893-9;978-2-207-25893-4,,1,0
Mother of Storms,John Barnes,1995,,,,,3,0
Dune,Frank Herbert,1964,3634639,OL893527W;OL893415W,1-4732-3395-X;978-1-4732-3395-9,,1,0
Burning Paradise,Robert Charles Wilson,2014,,,,,1,0
No Enemy But Time,Michael Bishop,1982,909468,OL2798254W,0-671-44973-7;978-0-671-44973-5,,0,1
City Come A-Walkin',John Shirley,1981,,,,,1,0
The Dancers of Arun,Elizabeth A. Lynn,1980,,,,,1,0
The First Fifteen Lives of Harry August,Catherine Webb,2015,25807847,,,,0,1
Light,M. John Harrison,2003,295250,OL2643429W,978-88-275-1006-3;978-0-575-07025-7;88-275-1006-0;0-575-07025-0,,1,0
The Dervish House,Ian McDonald,2011,7235789,OL17826971W,1-61614-204-9;1-61614-545-5;978-1-61614-204-9;978-1-61614-545-3,,2,1
Brain Child,George Turner,1992,,,,,1,0
The Dazzle of Day,Molly Gloss,1998,,,,,1,0
Old Man's War,John Scalzi,2006,50700,OL5734647W,0-7653-0940-8;978-0-7653-0940-2;978-80-7479-049-2,,2,0
Inferno,"Jerry Pournelle, Larry Niven",1976,2015541,OL7665675M,978-0-671-80490-9;0-671-80490-1,,2,0
Lady of Mazes,Karl Schroeder,2006,,,,,1,0
The Sky So Big and Black,John Barnes,2003,,,,,1,0
The Fifth Season,N. K. Jemisin,2015,26115977,OL17363125W,978-0-316-22929-6;978-84-666-6169-0;978-80-7577-560-3;978-85-92795-23-8;85-92795-23-0,,1,0
The Obelisk Gate,N. K. Jemisin,2016,46213537,OL17842279W,978-0-316-22926-5;978-84-666-6267-3;978-80-7577-981-6,,1,0
The 37th Mandala,Marc Laidlaw,1997,,,,,1,0
Brothers in Arms,Lois McMaster Bujold,1989,1808918,OL35699810M,978-2-277-23925-3;978-84-406-9289-4;2-277-23925-9;84-406-9289-7,,1,0
Glass Houses,Laura J. Mixon,1993,,,,,1,0
Moving Mars,Greg Bear,1994,1760791,OL16519W,,,3,1
Brain Thief,Alexander Jablokov,2011,,,,,1,0
The Language of Power,Rosemary Kirstein,2005,977217,,978-0-9913546-7-2,,1,0
The Ringworld Throne,Larry Niven,1997,59500,OL510428W,978-0-345-35861-5;978-90-290-5151-4;0-345-35861-9,,1,0
The Difference Engine,"Bruce Sterling, William Gibson",1992,1806578,OL27252W,0-575-04762-3;978-0-575-04762-4;978-0-553-29461-3,,1,0
Dreaming Metal,Melissa Scott,1998,622019,,978-0-312-86658-7;0-312-86658-5,,1,0
The Man Who Melted,Jack Dann,1984,,,,,1,0
Ventus,Karl Schroeder,2001,,,,,1,0
The Clockwork Rocket,Greg Egan,2012,,,978-1-59780-227-7,,1,0
The Last Hawk,Catherine Asaro,1998,3926,OL78624W,978-0-312-86044-8;0-312-86044-7,,1,0
Vitals,Greg Bear,2003,,,,,2,0
Radix,A. A. Attanasio,1982,,,,,1,0
The Embedding,Ian Watson,1975,,,,,1,0
Iron Council,China Miéville,2005,66379,OL14871877W,0-330-49252-7;0-345-46402-8;2-265-08309-7;978-0-330-49252-2;978-0-345-46402-6;978-2-265-08309-7,,2,0
The Quantum Thief,Hannu Rajaniemi,2011,9886333,OL17699438W,0-575-08888-5;0-7653-6766-1;978-0-575-08888-7;978-0-7653-6766-2,,1,0
Julian Comstock: A Story of 22nd-Century America,Robert Charles Wilson,2010,,,,,3,0
Probability Moon,Nancy Kress,2001,,,,,1,0
Pet Sematary,Stephen King,1984,150017,OL81631W,0-385-18244-9;978-0-385-18244-7;978-80-7593-089-7,,1,0
The Einstein Intersection,Samuel R. Delany,1967,2006203,OL56829W,978-2-7201-0088-8;978-84-450-7104-5;978-0-8195-6336-1;2-7201-0088-9;84-450-7104-1,,0,1
The Walls of the Universe,Paul Melko,2010,,,,,1,0
The Lost Steersman,Rosemary Kirstein,2004,977218,,978-0-9913546-6-5,,1,0
The Eyre Affair,Jasper Fforde,2002,3436605,OL5730223W;OL5730195W,,,1,0
After Long Silence,Sheri S. Tepper,1988,,,,,1,0
Golem100,Alfred Bester,1981,,,,,1,0
Maximum Light,Nancy Kress,1999,,,,,1,0
Caldé of the Long Sun,Gene Wolfe,1995,,,,,2,0
The Windup Girl,Paolo Bacigalupi,2009,6791425,OL15000756W,978-1-59780-158-4,,0,1
Babylon,Richard Calder,2007,,,,,1,0
The Robots of Dawn,Isaac Asimov,1984,905286,OL46377W,84-9759-955-1;2-277-21602-X;0-307-49024-6;978-0-385-18400-7;978-0-553-29949-6;978-84-9759-955-9;978-2-277-21602-5;978-0-307-49024-7,,2,0
The Sheep Look Up,John Brunner,1972,900514,OL3521965W;OL21994448M,978-0-06-010558-7;0-06-010558-5,,1,0
The Arrows of Time,Greg Egan,2014,,,978-1-59780-487-5,,1,0
The Gate to Women's Country,Sheri S. Tepper,1989,,,,,1,0
MaddAddam,Margaret Atwood,2014,17613051,OL17046610W,,,1,0
Children of the Thunder,John Brunner,1989,868135,OL3521943W,978-0-345-31378-2;0-345-31378-X,,1,0
Doorways in the Sand,Roger Zelazny,1976,759315,OL13981W,0-06-014789-X;978-0-06-014789-1,,1,0
Downbelow Station,C. J. Cherryh,1982,55573,OL9822675M;OL60590W,84-7002-376-4;978-84-7002-376-7,,1,1
Shadow of the Hegemon,Orson Scott Card,2002,2528139,OL49634W,978-0-312-87651-7;978-2-84172-220-4;0-312-87651-3;2-84172-220-1,,1,0
Sarah Canary,Karen Joy Fowler,1992,,,,,1,0
Flowers for Algernon,Daniel Keyes,1967,3337594,OL515754W,,,1,0
The Gripping Hand,"Jerry Pournelle, Larry Niven",1994,,,,,1,0
The Faded Sun: Kesrith,C. J. Cherryh,1979,,,,,1,0
The Kif Strike Back,C. J. Cherryh,1986,,,,,1,0
Candle,John Barnes,2001,1407083,,978-0-312-87700-2;0-312-87700-5,,1,0
Proxima,Stephen Baxter,2014,,,,,2,0
Schismatrix,Bruce Sterling,1986,,OL1888050W,0-87795-645-6;978-0-87795-645-7,,1,0
Dawn's Uncertain Light,"Neal Barrett, Jr.",1990,,,,,1,0
The Falling Woman,Pat Murphy,1988,958538,OL66835W,,,0,1
The Terminal Experiment,Robert J. Sawyer,1995,3042473,OL17029W,0-06-105310-4;978-0-06-105310-8,,0,1
Stardance,"Jeanne Robinson, Spider Robinson",1980,2177257,OL15420221W,0-8037-8232-2;978-0-8037-8232-7,,1,0
Coming Home,Jack McDevitt,2014,,,,,1,0
The Whole Man,John Brunner,1965,,,,,1,0
Mechanique: a Tale of the Circus Tresaulti,Genevieve Valentine,2011,,,,,1,0
Sailing to Sarantium,Guy Gavriel Kay,1999,1336666,OL1988273W,978-0-7434-5009-6;0-7434-5009-4,,1,0
The Claw of the Conciliator,Gene Wolfe,1981,2902933,OL15859736W;OL14871970W,978-0-671-41370-5;978-80-277-0295-4;0-671-41370-8,,0,1
The Aeronaut's Windlass,Jim Butcher,2016,24239884,,,,1,0
Redshift Rendezvous,John E. Stith,1991,,,,,1,0
The Accidental Time Machine,Joe Haldeman,2007,22743,,,,1,0
Doomsday Book,Connie Willis,1993,2439628,OL14858406W,978-4-15-207966-4;4-15-207966-5,,0,2
Starplex,Robert J. Sawyer,1997,,,,,1,0
Komarr,Lois McMaster Bujold,1999,1129294,OL56903W,0-671-01783-7;84-666-0298-4;0-671-87877-8;978-0-671-01783-5;978-84-666-0298-3;978-0-671-87877-1;978-2-290-30281-1,,1,0
Alien Earth,Robin Hobb,1993,,,,,1,0
Mona Lisa Overdrive,William Gibson,1988,1263322,OL27253W,2-290-02735-9;978-2-290-02735-6;978-0-553-05250-3,,1,0
God Emperor of Dune,Frank Herbert,1982,3634588,OL893515W,2-221-00775-1;978-2-221-00775-4,,1,0
"Sister Light, Sister Dark",Jane Yolen,1989,,,,,1,0
The Life of the World to Come,Kage Baker,2005,1396619,OL14851918W,978-0-7653-1132-0;0-7653-1132-1,,1,0
The Annals of the Heechee,Frederik Pohl,1988,,,,,1,0
Worlds Enough and Time,Joe Haldeman,1993,,,,,1,0
Way of the Pilgrim,Gordon R. Dickson,1988,,,,,1,0
Powers,Ursula K. Le Guin,2009,65949,OL15056590W,,,0,1
Winter Rose,Patricia A. McKillip,1996,1323557,OL92497W,978-0-441-00334-1;0-441-00334-6,,1,0
Imago,Octavia E. Butler,1990,6589483,OL35613W,,,1,0
Endymion,Dan Simmons,1997,1882574,OL1963317W,978-2-221-08956-9;978-0-7472-0525-8;2-221-08956-1;0-7472-0525-6,,1,0
The Golden Transcendence,John C. Wright,2004,,OL24478939W,,,1,0
A Fire Upon the Deep,Vernor Vinge,1993,1253374,OL1975714W,978-0-312-85182-8;978-0-8125-1528-2;0-312-85182-0;0-812-51528-5,,0,1
In War Times,Kathleen Ann Goonan,2008,,,,,0,1
Snow Crash,Neal Stephenson,1993,493634,OL38501W;OL38485W,0-553-08853-X;3-442-23686-X;978-0-553-08853-3;978-3-442-23686-2,,1,0
Forever Free,Joe Haldeman,2000,22753,OL461306W,1-85798-931-7;978-1-85798-931-1,,1,0
Wetware,Rudy Rucker,1989,,,,,1,0
The Shadow of the Torturer,Gene Wolfe,1980,762497,OL14871979W,978-80-277-0294-7,,1,0
The Martian Inca,Ian Watson,1978,,,,,1,0
7th Sigma,Steven Gould,2012,,,,,1,0
Bug Jack Barron,Norman Spinrad,1970,2512433,OL47517W,,,1,0
Devices and Desires,Tom Holt,2008,195958,OL9011401W,978-0-316-00338-4,,1,0
Ruled Britannia,Harry Turtledove,2003,,,,,1,0
Ancillary Sword,Ann Leckie,2014,40026175,OL17062642W,978-0-316-24665-1;978-0-356-50241-0;978-80-259-0633-0,,1,0
The Songs of Distant Earth,Arthur C. Clarke,1987,1702889,OL17383W;OL14931577W,2-226-02675-4;978-0-345-33219-6;978-2-226-02675-0,,1,0
Dinner at Deviant's Palace,Tim Powers,1986,,,,,1,0
No Enemy But Time,Michael Bishop,1983,909468,OL2798254W,0-671-44973-7;978-0-671-44973-5,,2,0
Where Late the Sweet Birds Sang,Kate Wilhelm,1977,953721,OL506264W,978-0-06-014654-2;0-06-014654-0,,1,1
The Sunless Countries,Karl Schroeder,2010,,,,,1,0
Precursor,C. J. Cherryh,2000,,OL34528023M,978-0-88677-910-8;0-88677-910-3,,1,0
Synners,Pat Cadigan,1992,295822,,978-1-3996-1725-3,,1,0
Startide Rising,David Brin,1984,251634,OL58710W;OL24674612M,978-2-277-21981-1;2-277-21981-9,,0,2
Time,Stephen Baxter,2000,97079,,0-00-225768-8;978-2-266-17718-4,,1,0
Rama Revealed,"Gentry Lee, Arthur C. Clarke",1995,828267,OL17379W,978-0-575-05577-3;978-85-209-0714-6;0-575-05577-4;85-209-0714-8,,1,0
Grass,Sheri S. Tepper,1990,14066792,OL104514W,978-1-85798-798-0;1-85798-798-5,,2,0
A Planet Called Treason,Orson Scott Card,1980,,,,,1,0
The Far Shore of Time,Frederik Pohl,2000,357217,OL14924205W,978-0-312-86618-1;0-312-86618-6,,1,0
The Amber Spyglass,Philip Pullman,2001,1774510,OL28996W,0-439-99358-X;84-666-3625-0;0-440-41856-9;978-0-439-99358-6;978-84-666-1863-2;978-84-666-3625-4;978-0-440-41856-6;978-80-257-2445-3;978-80-257-3489-6,,1,0
Nightside the Long Sun,Gene Wolfe,1994,2634354,OL14871926W,,,1,0
A Dance with Dragons,George R. R. Martin,2012,2936175,OL1955906W,978-0-553-80147-7;978-0-00-224739-9;978-80-257-2814-7;978-80-257-2815-4;978-80-257-2816-1;0-553-80147-3,,2,0
All Tomorrow's Parties,William Gibson,2000,513838,OL27251W,0-670-87557-0;978-0-670-87557-3;978-0-14-026613-9,,1,0
Among Others,Jo Walton,2012,6449955,OL26644543M;OL18167529W;OL16419954W,978-0-7653-2153-4;0-7653-2153-X,,1,1
Count Zero,William Gibson,1987,879764,,978-2-7071-1620-8;2-7071-1620-3,,2,0
Afterparty,Daryl Gregory,2015,,,978-0-7653-3692-7;978-2-84344-904-8,,2,0
The Number of the Beast,Robert A. Heinlein,1981,1077659,OL59705W,978-0-449-13070-4;0-449-13070-3,,1,0
Wildlife,James Patrick Kelly,1995,,,,,1,0
Going Postal,Terry Pratchett,2005,1636617,OL453733W,0-385-60342-8;978-0-385-60342-3,,1,0
Bone Dance,Emma Bull,1992,1115507,OL3924625W,978-0-441-57457-5;0-441-57457-2,,3,0
Ashes of Candesce,Karl Schroeder,2013,,,,,1,0
A Midsummer Tempest,Poul Anderson,1975,491217,OL90533W,978-0-385-05505-5;978-0-345-24404-8;0-385-05505-6;0-345-24404-4,,2,0
From the Teeth of Angels,Jonathan Carroll,1995,,,,,1,0
The Steel Crocodile,David G. Compton,1970,,,,,1,0
The Love We Share Without Knowing,Christopher Barzak,2009,,,,,1,0
The Praxis,Walter Jon Williams,2003,,,,,1,0
The Dragon and the George,Gordon R. Dickson,1977,110678,OL155506W,0-345-35050-2;978-0-345-35050-3,,1,0
Polar City Blues,Katharine Kerr,1991,,,,,1,0
The Red: First Light,Linda Nagata,2014,,,,,2,0
The Merchants of Souls,John Barnes,2002,794779,OL16069897W,978-0-312-89076-6;0-312-89076-1,,1,0
Eater,Gregory Benford,2001,,,,,1,0
The Postman,David Brin,1986,924908,OL58717W;OL58708W;OL20101455W,2-277-22261-5;84-7002-400-0;978-0-553-05107-0;978-2-277-22261-3;978-84-7002-400-9;978-80-277-0028-8,,1,2
"Little, Big",John Crowley,1982,518635,OL482575W,0-553-01266-5;0-553-26586-5;0-06-112005-7;0-06-093793-9;978-0-553-01266-8;978-0-553-26586-6;978-0-06-112005-3;978-0-06-093793-5,,1,1
Lord Kelvin's Machine,James Blaylock,1993,410167,OL88107W,978-0-87054-163-6;0-87054-163-3,,1,0
Starfarers,Poul Anderson,1999,,,,,1,0
The Computer Connection,Alfred Bester,1976,853324,OL1819365W,978-0-399-11481-6;0-399-11481-5,,1,0
Harvest of Stars,Poul Anderson,1994,,,,,1,0
Dhalgren,Samuel R. Delany,1975,873021,OL56835W,978-0-552-68554-2;978-0-553-14861-9;978-0-575-09099-6;0-552-68554-2,,1,0
The Red Tree,Caitlín R. Kiernan,2010,,,,,1,0
At Winter's End,Robert Silverberg,1989,437975,OL1960604W,978-0-446-51384-5;0-446-51384-9,,1,0
The System of the World,Neal Stephenson,2005,905463,OL38489W,978-0-06-052387-9;978-0-09-946336-8,,0,1
Dying Inside,Robert Silverberg,1972,,OL1960655W,978-0-684-13083-5;0-684-13083-1,,1,0
In the Ocean of Night,Gregory Benford,1977,2226612,OL108300W,978-0-8037-4218-5;0-8037-4218-5,,1,0
The Land Across,Gene Wolfe,2014,,,,,1,0
A Borrowed Man,Gene Wolfe,2016,,,,,1,0
The Hundred Thousand Kingdoms,N. K. Jemisin,2010,6626657,,978-0-316-04392-2;978-2-36051-023-8,,1,0
Tea with the Black Dragon,R. A. MacAvoy,1983,,OL8367120W,0-553-23205-3;978-0-553-23205-9,,1,0
The Ocean at the End of the Lane,Neil Gaiman,2014,21500681,OL16804661W,978-0-06-225565-5;978-0-06-227234-8;978-80-257-3286-1;0-06-225565-7,,1,0
Parable of the Talents,Octavia E. Butler,1999,249012,OL35618W,,,1,1
A Fire Upon the Deep,Vernor Vinge,1992,1253374,OL1975714W,978-0-312-85182-8;978-0-8125-1528-2;0-312-85182-0;0-812-51528-5,,1,0
Have Space Suit—Will Travel,Robert A. Heinlein,1959,1984753,OL59727W,,,1,0
Voyage,Stephen Baxter,1997,,,,,1,0
The Yiddish Policemen's Union,Michael Chabon,2008,95855,OL14958135W;OL119430W,978-0-00-714982-7;0-00-714982-4,,1,2
The New Moon's Arms,Nalo Hopkinson,2007,,,,,1,0
The People of the Wind,Poul Anderson,1974,,,,,1,0
Soldier of Sidon,Gene Wolfe,2007,40580,OL8053692M;OL16068305W,0-7653-1670-6;978-0-7653-1670-7,,0,1
Dragonsdawn,Anne McCaffrey,1989,3310352,OL73379W,978-0-345-33160-1;0-345-33160-5,,2,0
Permutation City,Greg Egan,1995,1270567,OL115336W,978-0-575-08207-6;978-2-221-08177-8,,1,1
Enigma,Michael P. Kube-McDowell,1987,,,,,1,0
Anvil of Stars,Greg Bear,1993,,,,,1,0
Sleepless,Charlie Huston,2011,,OL16981473W,978-0-345-50113-4,,1,0
Tumbling After,Paul Witcover,2006,,,,,1,0
"Life, the Universe and Everything",Douglas Adams,1983,74123,OL2163623W,978-0-330-26738-0;978-0-330-50857-5;978-0-307-49650-8;0-330-26738-8;0-307-49650-3,,1,0
The Forever War,Joe Haldeman,1975,423,OL271163W,978-0-312-29890-6;0-312-29890-0,,0,1
Accelerando,Charles Stross,2006,930555,OL2465670W,978-0-441-01284-8;978-1-84149-390-9;978-0-441-01415-6;0-441-01284-1;0-441-01415-1,,2,1
Ender's Game,Orson Scott Card,1985,2422333,OL49676W;OL49617W,0-312-93208-1;2-7201-0280-6;978-0-312-93208-4;978-2-7201-0280-6,,0,1
Witch World,Andre Norton,1964,1171819,,0-8398-2355-X;978-0-8398-2355-1,,1,0
Return to the Whorl,Gene Wolfe,2002,,,,,1,0
"Welcome, Chaos",Kate Wilhelm,1984,,,,,1,0
The Affirmation,Christopher Priest,1982,3518,OL166482W,978-2-7021-0433-0;2-7021-0433-9,,1,0
Distance Haze,Jamil Nasir,2001,,,,,1,0
Tides of Light,Gregory Benford,1990,3028987,,,,1,0
Perdido Street Station,China Miéville,2002,3221410,OL8718786W,0-345-45940-7;0-333-78172-4;2-265-07185-4;978-0-345-45940-4;978-0-333-78172-2;978-80-7617-155-8;978-2-265-07185-8,,2,0
Remake,Connie Willis,1996,1252560,OL14858407W,978-0-929480-48-0;0-929480-48-1,,1,0
Mysterium,Robert Charles Wilson,1995,,,,,1,0
Chronic City,Jonathan Lethem,2010,6262015,,978-0-385-51863-5;0-385-51863-3,,1,0
Stranger in a Strange Land,Robert A. Heinlein,1962,908211,OL59741W;OL59681W,2-221-09103-5;90-229-9021-4;0-441-79034-8;978-3-4535-2548-1;978-1-9848-0278-1;978-0-441-79034-0,,0,1
The Best of All Possible Worlds,Karen Lord,2014,,,,,1,0
The Hydrogen Sonata,Iain Banks,2013,19042585,OL17717215W,978-0-356-50150-5;978-0-356-50149-9,,2,0
Deserted Cities of the Heart,Lewis Shiner,1988,,,,,1,0
Undertow,Elizabeth Bear,2008,,,,,1,0
Dragonsinger,Anne McCaffrey,1978,2971170,OL73356W,978-0-689-30570-2;0-689-30570-2,,1,0
Riddley Walker,Russell Hoban,1981,762606,OL74293W,0-224-01851-5;978-0-224-01851-7,,1,0
Day of the Minotaur,Thomas Burnett Swann,1967,,,,,1,0
Cosmonaut Keep,Ken MacLeod,2002,883739,OL14871189W,978-0-7653-4073-3;978-0-7653-0032-4;0-7653-4073-9;0-765-30032-X,,2,0
The Light Ages,Ian R. MacLeod,2004,,,,,1,0
The Moon Is a Harsh Mistress,Robert A. Heinlein,1967,1048525,OL59728W,4-15-010207-4;978-4-15-010207-4,,0,1
Brute Orbits,George Zebrowski,1999,,,,,0,1
Rapture,Kameron Hurley,2013,,,978-0-09-195282-2,,1,0
Against the Day,Thomas Pynchon,2007,3016553,OL2636670W,978-1-59420-120-2;1-59420-120-X,,1,0
Pasquale's Angel,Paul J. McAuley,1995,,,,,1,0
Tik-Tok,John Sladek,1984,,OL11291679W,978-0-575-03336-8;0-575-03336-3,,2,0
The Telling,Ursula K. Le Guin,2001,1873378,OL59834W,978-0-15-100567-3;978-80-906124-1-9;0-15-100567-2,,0,1
Rimrunners,C. J. Cherryh,1990,2160361,OL60599W,0-446-51514-0;978-0-446-51514-6,,1,0
The Iron Dragon's Daughter,Michael Swanwick,1994,522367,OL549273W,978-0-688-13174-6;978-0-380-72098-9;978-80-257-3516-9;0-688-13174-3;0-380-72098-1,,1,0
On Wings of Song,Thomas M. Disch,1979,,OL10532469W,978-0-575-02547-9;0-575-02547-6,,1,0
Eifelheim,Michael F. Flynn,2007,426861,OL269775W,978-0-7653-0096-6;0-7653-0096-6,,2,0
Triton,Samuel R. Delany,1976,82889,OL56826W,978-0-553-22979-0;978-0-8195-6298-2;0-553-22979-6,,1,0
Ancillary Mercy,Ann Leckie,2016,43134689,,978-0-356-50242-7;978-0-316-24668-2;978-80-259-0787-0;0-356-50242-2,,2,1
The Fleet of Stars,Poul Anderson,1998,,,,,1,0
Protector,C. J. Cherryh,2014,,,978-0-7564-0798-8;0-7564-0798-2,,1,0
Ha'penny,Jo Walton,2008,422656,OL5841566W,978-0-7653-1853-4;0-7653-1853-9;978-0-7653-2314-9,,1,0
Cryptonomicon,Neal Stephenson,2000,1166797,OL38494W,0-380-97346-4;0-06-051280-6;978-0-380-97346-0;978-0-06-051280-4;978-80-257-3437-7;978-80-7553-883-3,,1,1
Kalki,Gore Vidal,1978,1235466,OL98027W,,,1,0
The City & the City,China Miéville,2010,4767909,OL20796151W;OL14990802W,978-0-230-74191-1;978-1-4050-0017-8;978-0-345-49751-2;978-2-265-09065-1;978-80-7617-694-2;0-230-74191-6;1-4050-0017-1;0-345-49751-1;2-265-09065-4,,1,2
All Clear,Connie Willis,2010,9735628,OL15406914W,978-0-553-80767-7;978-2-35294-633-5,,0,1
