work_qid,description
Q131382360,"The Jackaroo, those enigmatic aliens who claim to have come to help, gave humanity access to worlds littered with ruins and scraps of technology left by long-dead client races. But although people have found new uses for alien technology, that technology may have found its own uses for people. The dissolute scion of a powerful merchant family, and a woman living in seclusion with only her dog and her demons for company, have become infected by a copies of a powerful chunk of alien code. Driven to discover what it wants from them, they become caught up in a conflict between a policeman allied to the Jackaroo and the laminated brain of a scientific wizard, and a mystery that spans light years and centuries. Humanity is about to discover why the Jackaroo came to help us, and how that help is shaping the end of human history."
Q131382849,"First there was the Setback. Then came the Clawback. Now humanity thrives.

Rubi Whiting is a member of the Bounceback Generation. The first to be raised free of the troubles of the late twenty-first century. Now she works as a public defender to help troubled individuals with anti-social behavior. That’s how she met Luciano Pox.

Luce is a firebrand and has made a name for himself as a naysayer. But there’s more to him than being a lightning rod for controversy. Rubi has to find out why the governments of the world want to bring Luce into custody, and why Luce is hell bent on stopping the recovery of the planet."
Q131382851,"In the future United States, our own history has faded into myth and traveling across the country means navigating wastelands and ever-changing landscapes.

The country teems with monsters and artificial intelligences try to unpack their own becoming by recreating myths and legends of their human creators. Prospector Ed, an emergent AI who wants to understand the people who made him, assembles a ragtag team to reach the mythical Monument City.

In this nanotech Western, Alex Irvine infuses American mythmaking with terrifying questions about the future and who we will become."
Q131382906,"Infinity is only the beginning.

The Pandominion: a political and trading alliance of a million worlds - except that they're really just the one world, Earth, in many different realities. And when an AI threat arises that could destroy everything the Pandominion has built, they'll eradicate it by whatever means necessary, no matter the cost to human life.

Scientist Hadiz Tambuwal is looking for a solution to her own Earth's environmental collapse when she stumbles across the secret of inter-dimensional travel. It could save everyone on her dying planet, but now she's walked into the middle of a war on a scale she never dreamed of.

And she needs to choose a side before it kills her."
Q131382914,"Rachel's boyfriend Frank is different from other people. His strangeness is part of what she loves about him: his innocence, his intelligence, his passionate immersion in the music of JS Bach. As a coder, Frank sees patterns in everything, but as his theories slide further towards the irrational, Rachel becomes increasingly concerned for his wellbeing. There are people Frank knows online, people who share his view of the world and who insist he has a unique role to play. In spite of Rachel's fears for his safety, Frank is determined to meet them face to face.

When Frank disappears, Rachel is forced to seek help in the form of Robin, a private detective who left the police force for reasons she will not reveal. Like Frank, Robin is obsessed with the music of Bach. Like Frank, she has unexplained connections with the criminal underworld of southeast London.

An obscure science fiction story from the 1950s appears to offer clues to Frank's secret agenda, but not to where he is. As Robin and Rachel draw closer in their search for the truth, they are forced to ask themselves if Frank's obsession with an alien war, against all logic, might have a basis in fact."
Q131415632,"An unnamed man wakes to find himself facing the loss of everything that matters most to him. Against all odds, he escapes with his life and heads out into the turbulence of the wider world, recreating himself, step by step, as he goes along.

That wider world is dominated by an empire that has existed for decades in a state of near perpetual war. A host of colorful characters will help to shape the destiny of the empire, and its constantly shifting array of allies and adversaries; among them, a master military strategist, a former pacifist who inherits his father’s moribund arms business, a beautiful forger and a very lucky counterfeiter. Each of them, together with corrupt bureaucrats and the nomadic 'savages' of the title, plays a part in a gradually unfolding drama of conflict and conquest played for the highest of stakes.

A story of war, politics, intrigue, deception, and survival, Savages is a hugely ambitious, convincingly detailed novel that is impossible to set aside. Filled with schemes, counter-schemes, sudden reversals of fortune, and brilliantly described accounts of complex military encounters, it is, by any measure, an extraordinary entertainment, the work of a writer whose ambition, range, and sheer narrative power have never been more thoroughly on display."
Q133842905,"A dark retelling of the Brothers Grimm's Goose Girl, rife with secrets, murder, and forbidden magic

Cordelia knows her mother is unusual. Their house doesn’t have any doors between rooms, and her mother doesn't allow Cordelia to have a single friend—unless you count Falada, her mother's beautiful white horse. The only time Cordelia feels truly free is on her daily rides with him. But more than simple eccentricity sets her mother apart. Other mothers don’t force their daughters to be silent and motionless for hours, sometimes days, on end. Other mothers aren’t sorcerers.

After a suspicious death in their small town, Cordelia’s mother insists they leave in the middle of the night, riding away on Falada’s sturdy back, leaving behind all Cordelia has ever known. They arrive at the remote country manor of a wealthy older man, the Squire, and his unwed sister, Hester. Cordelia’s mother intends to lure the Squire into marriage, and Cordelia knows this can only be bad news for the bumbling gentleman and his kind, intelligent sister.

Hester sees the way Cordelia shrinks away from her mother, how the young girl sits eerily still at dinner every night. Hester knows that to save her brother from bewitchment and to rescue the terrified Cordelia, she will have to face down a wicked witch of the worst kind."
Q3835810,"THE MAN ON THE MOON WAS DEAD.

They called him Charlie. He had big eyes, abundant body hair and fairly long nostrils.

His skeletal body was found clad in a bright red spacesuit, hidden in a rocky grave.

They didn't know who he was, how he got there, or what had killed him.

All they knew was that his corpse was 50,000 years old; and that meant that this man had somehow lived long before he ever could have existed!"
Q39053152,"In the far future, a young man stands on a barren asteroid. His ship has been stolen, his family kidnapped or worse, and all he has on his side is a semi-intelligent spacesuit. The only member of the crew to escape, Hari has barely been off his ship before. It was his birthplace, his home and his future.

He's going to get it back.

McAuley's latest novel is set in the same far-flung future as his last few novels (The Quiet War, Gardens of the Sun, In the Mouth of the Whale), but this time he takes on a much more personal story.

This is a tale of revenge, of murder and morality, of growing up and discovering the world around you. Throughout the novel we follow Hari's viewpoint, and as he unravels the mysteries that led to his stranding, we discover them alongside him. But throughout his journeys, Hari must always bear one thing in mind.

Nobody is to be trusted."
Q62625624,"When the hexarchate's gifted young captain Kel Cheris summoned the ghost of the long-dead General Shuos Jedao to help her put down a rebellion, she didn't reckon on his breaking free of centuries of imprisonment - and possessing her. Even worse, the enemy Hafn are invading, and Jedao takes over General Kel Khiruev's fleet, which was tasked with stopping them. Only one of Khiruev's subordinates, Lieutenant Colonel Kel Brezan, seems to be able to resist the influence of the brilliant but psychotic Jedao. Jedao claims to be interested in defending the hexarchate, but can Khiruev or Brezan trust him? For that matter, will the hexarchate's masters wipe out the entire fleet to destroy the rogue general?"
