work_qid,description
Q1865620,"Seventeen year old Marcus and his friends are in the wrong place at the wrong time during a major terrorist attack on San Francisco. They are held be the Department of Homland Security for days before being release only to discover that their city has turned into surveillance society police state. They decide to resist in the only way they know how by taking on the DHS.

This book is distributed freely under a Creative Commons Attribution-Noncommercial-ShareAlike license from the author's website."
Q3367818,"One of those rare, unforgettable novels that are as chilling as they are insightful, as thought-provoking as they are terrifying, award-winning author Connie Willis's Passage is an astonishing blend of relentless suspense and cutting-edge science unlike anything you've ever read before. It is the electrifying story of a psychologist who has devoted her life to tracking death. But when she volunteers for a research project that simulates the near-death experience, she will either solve life's greatest mystery -- or fall victim to its greatest terror. At Mercy General Hospital, Dr. Joanna Lander will soon be paged -- not to save a life, but to interview a patient just back from the dead. A psychologist specializing in near-death experiences, Joanna has spent two years recording the experiences of those who have been declared clinically dead and lived to tell about it. It's research on the fringes of ordinary science, but Joanna is about to get a boost from an unexpected quarter. A new doctor has arrived at Mercy General, one with the power to give Joanna the chance to get as close to death as anyone can.A brilliant young neurologist, Dr. Richard Wright has come up with a way to manufacture the near-death experience using a psychoactive drug. Dr. Wright is convinced that the NDE is a survival mechanism and that if only doctors understood how it worked, they could someday delay the dying process, or maybe even reverse it. He can use the expertise of a psychologist of Joanna Lander's standing to lend credibility to his study. But he soon needs Joanna for more than just her reputation. When his key volunteer suddenly drops out of the study, Joanna finds herself offering to become Richard's next subject. After all, who better than she, a trained psychologist, to document the experience? Her first NDE is as fascinating as she imagined it would be -- so astounding that she knows she must go back, if only to find out why this place is so hauntingly familiar. But each time Joanna goes under, her sense of dread begins to grow, because part of her already knows why the experience is so familiar, and why she has every reason to be afraid....And just when you think you know where she is going, Willis throws in the biggest surprise of all -- a shattering scenario that will keep you feverishly reading until the final climactic page is turned.From the Hardcover edition."
Q1170644,"It's the twenty-fifth century, and advances in technology have redefined life itself. A person's consciousness can now be stored in the brain and downloaded into a new body (or ""sleeve""), making death nothing more than a minor blip on a screen. Onetime U.N. Envoy Takeshi Kovacs has been killed before, but his last death was particularly painful. Resleeved into a body in Bay City (formerly San Francisco), Kovacs is thrown into the dark heart of a shady, far-reaching conspiracy that is vicious even by the standards of a society that treats existence as something that can be bought and sold. For Kovacs, the shell that blew a hole in his chest was only the beginning."
Q1154138,"""The Golden Age takes place 10,000 years in the future in our solar system, an interplanetary utopian society filled with immortal humans. Within the frame of a traditional tale - the one rebel who is unhappy in utopia - Wright spins an elaborate plot web filled with suspense and passion."" ""Phaethon, of Radamanthus House, is attending a glorious party at his family mansion to celebrate the thousand-year anniversary of the High Transcendence. There he meets first an old man who accuses him of being an impostor and then a being from Neptune who claims to be an old friend. The Neptunian tells him that essential parts of his memory were removed and stored by the very government that Phaethon believes to be wholly honorable. It shakes his faith. He is an exile from himself."" And so Phaethon embarks upon a quest across the transformed solar system - Jupiter is now a second sun, Mars and Venus terraformed, humanity immortal - among humans, intelligent machines, and bizarre lifeforms that are partly both, to recover his memory, and to learn what crime he planned that warranted such preemptive punishment. His quest is to regain his true identity."
Q437365,"The science fiction masterpiece continues in the ""major event,""( Los Angeles Times) Children of Dune. With millions of copies sold worldwide, Frank Herbert's Dune novels stand among the major achievements of the human imagination and one of the most significant sagas in the history of literary science fiction. The Children of Dune are twin siblings Leto and Ghanima Atreides, whose father, the Emperor Paul Muad'Dib, disappeared in the deserts of Arrakis. Like their father, they possess supernormal abilities—making them valuable to their aunt Alia, who rules the Empire. If Alia can obtain the secrets of the twins' prophetic visions, her rule will be absolute. But the twins have their own plans for their destiny."
Q3209683,"From back cover Ace paperback December 1982:

This is war: The biggest, longest war that anyone could imagine.  The soldiers are recruited at the moment of death to fight through all of time.  The goal is to change the past, and insure victory in the future.

The Change Winds are blowing.  Welcome to the Big Time.

*""Have you ever worried about your memory, because it doesn't seem to be bringing you the same picture of the past from one day to the next?  Have you ever been afraid that your personality was changing because of forces beyond your knowledge or control?  Have you ever felt sure that sudden death was about to jump you from nowhere?  Have you ever thought that the whole universe might be a crazy mixed-up dream?  If you have, you've had hints of the Change War.""*"
Q741222,"Written in 1973, a massive 50 kilometre long alien cylinder begins to pass through the solar system provoking a hurried effort to intercept it. The closest available ship rushes to rendezvous so as to have a quick study before it gets too close to the sun. Able to enter via an airlock on one end of the ship, the crew explores the huge world found inside, a world full of wonder and mystery. As usual, the science is spot on. This is the best novel of Clarke's since 2001 and Childhood's End and is a truly grand adventure full of puzzles and ideas that lead you asking more questions than are answered. Enough questions in fact to lead to numerous inferior sequels, but enough answers to leave you satisfied. Don't pass up this gem of hard science fiction."
Q4880453,"From back cover Tor paperback December 1997:

Two hundred years in the future regular human beings hate and fear the Sleepless and the SuperSleepless, genetically modified humans who are immune to disease and hunger, and need no sleep.  When the Sleepless plot to take over the world and leave regular humans powerless, civiliaztion and the very meaning of the word ""human"" hang in the balance."
Q3211325,"Environmental devastation and economic chaos have turned America into a land of depravity. Taking advantage of the situation, a zealous bigot wins his way into the White House. Lauren Olamina leads a new faith group directly opposed to the new government. This is the story of the group's struggle to preserve its vision.

As the government turns a blind eye to the violent bigots who consider a black female leader a threat, Lauren Olamina must either sacrifice her child and her followers or forsake her religion. The plot contains profanity, sexual situations and violence,"
Q963586,"With the incomparable vision and breathtaking detail that brought his now-classic Marstrilogy to vivid life, bestselling author KIM STANLEY ROBINSON boldly imagines an alternate history of the last seven hundred years. In his grandest work yet, the acclaimed storyteller constructs a world vastly different from the one we know....The Years of Rice and SaltIt is the fourteenth century and one of the most apocalyptic events in human history is set to occur--the coming of the Black Death. History teaches us that a third of Europe's population was destroyed. But what if? What if the plague killed 99 percent of the population instead? How would the world have changed? This is a look at the history that could have been--a history that stretches across centuries, a history that sees dynasties and nations rise and crumble, a history that spans horrible famine and magnificent innovation. These are the years of rice and salt. This is a universe where the first ship to reach the New World travels across the Pacific Ocean from China and colonization spreads from west to east. This is a universe where the Industrial Revolution is triggered by the world's greatest scientific minds--in India. This is a universe where Buddhism and Islam are the most influential and practiced religions and Christianity is merely a historical footnote. Through the eyes of soldiers and kings, explorers and philosophers, slaves and scholars, Robinson renders an immensely rich tapestry. Rewriting history and probing the most profound questions as only he can, Robinson shines his extraordinary light on the place of religion, culture, power, and even love on such an Earth. From the steppes of Asia to the shores of the Western Hemisphere, from the age of Akbar to the present and beyond, here is the stunning story of the creation of a new world.From the Hardcover edition."
Q5123535,"Multiple Hugo and Nebula award-winning author, Greg Bear is one of science fiction's most accomplished writers. Bold scientific speculation, riveting plots, and a fierce humanism reflected in characters who dare to dream of better worlds distinguish his work. Now Bear has written a mind-bendingly epic novel that may well be his masterpiece.Do you dream of a city at the end of time?In a time like the present, in a world that may or may not be our own, three young people--Ginny, Jack, and Daniel--dream of a doomed, decadent city of the distant future: the Kalpa. Ginny's and Jack's dreams overtake them without warning, leaving their bodies behind while carrying their consciousnesses forward, into the minds of two inhabitants of the Kalpa--a would-be warrior, Jebrassy, and an inquisitive explorer, Tiadba--who have been genetically retro-engineered to possess qualities of ancient humanity. As for Daniel: He dreams of an empty darkness--all that his future holds.But more than dreams link Ginny, Jack, and Daniel. They are fate-shifters, born with the ability to skip like stones across the surface of the fifth dimension, inhabiting alternate versions of themselves. And each guards an object whose origin and purpose are unknown: gnarled, stony artifacts called sum-runners that persist unchanged through all versions of time.Hunted by others with similar powers who seek the sum-runners on behalf of a terrifying, goddess-like entity known as the Chalk Princess, Ginny, Jack, and Daniel are drawn, despite themselves, into an all but hopeless mission to rescue the future--and complete the greatest achievement in human history.From the Hardcover edition."
Q3565822,"From back cover HarperPrism paperback November 1999:

It is the thirtieth century.  The ""world"" has evolved into a vast network of probes, satellites, and servers knitting the solar system into one scape from the outer planets to the sun.  Humanity, too, has reconfigured itself.  Most people have chosen immortality, joining the polises to become conscious software.  Others have opted for disposable, renewable robotic bodies that remain in contact with the physical world.  A few holdouts stubbornly remain fleshers struggling to shape an antiquated existence in the muck and jungle of Earth.

And then there is the Orphan, a genderless digital being grown from a mind seed.

WHen an unforeseen disaster ravages the fleshers, it awakens the polises to the possibility of their own extinction from bizarre astrophysical processes that seemingly violate fundamental laws of nature.  It is up to the Orphan and a group of refugees to find the knowledge that will save them all -- a search that will lead them on a quantum adventure to a higher dimension beyond the macrocosmos...."
Q105722561,"Sequel to *A Memory Called Empire*.

An alien armada lurks on the edges of Teixcalaanli space. No one can communicate with it, no one can destroy it, and Fleet Captain Nine Hibiscus is running out of options.

In a desperate attempt at diplomacy with the mysterious invaders, the fleet captain has sent for a diplomatic envoy. Now Mahit Dzmare and Three Seagrass—still reeling from the recent upheaval in the Empire—face the impossible task of trying to communicate with a hostile entity.

Whether they succeed or fail could change the fate of Teixcalaan forever."
Q109255097,"The boys of Huaxia dream of pairing up with girls to pilot Chrysalises, giant transforming robots that can battle the mecha aliens that lurk beyond the Great Wall. It doesn’t matter that the girls often die from the mental strain.

When 18-year-old Zetian offers herself up as a concubine-pilot, it’s to assassinate the ace male pilot responsible for her sister’s death. But she gets her vengeance in a way nobody expected—she kills him through the psychic link between pilots and emerges from the cockpit unscathed. She is labeled an Iron Widow, a much-feared and much-silenced kind of female pilot who can sacrifice boys to power up Chrysalises instead.

To tame her unnerving yet invaluable mental strength, she is paired up with Li Shimin, the strongest and most controversial male pilot in Huaxia​. But now that Zetian has had a taste of power, she will not cower so easily. She will miss no opportunity to leverage their combined might and infamy to survive attempt after attempt on her life, until she can figure out exactly why the pilot system works in its misogynist way—and stop more girls from being sacrificed."
Q2891748,"Pop culture, chaos theory and matters of the heart collide in this unique novella from the Hugo and Nebula winning author of Doomsday Book.   Sandra Foster studies fads and their meanings for the HiTek corporation. Bennet O'Reilly works with monkey group behavior and chaos theory for the same   company.   When the two are thrust together due to a misdelivered package and a run of seemingly bad luck, they find a joint project in a flock of sheep. But a                                                                         series of setbacks and disappointments arise before they are able to find answers to their questions.        From the Paperback edition."
Q62113879,"From the Hugo Award­­–winning author of The Stars Are Legion comes a brand-new science fiction thriller about a futuristic war during which soldiers are broken down into light in order to get them to the front lines on Mars.

They said the war would turn us into light.
I wanted to be counted among the heroes who gave us this better world.

The Light Brigade: it’s what soldiers fighting the war against Mars call the ones who come back…different. Grunts in the corporate corps get busted down into light to travel to and from interplanetary battlefronts. Everyone is changed by what the corps must do in order to break them down into light. Those who survive learn to stick to the mission brief—no matter what actually happens during combat.

Dietz, a fresh recruit in the infantry, begins to experience combat drops that don’t sync up with the platoon’s. And Dietz’s bad drops tell a story of the war that’s not at all what the corporate brass want the soldiers to think is going on.

Is Dietz really experiencing the war differently, or is it combat madness? Trying to untangle memory from mission brief and survive with sanity intact, Dietz is ready to become a hero—or maybe a villain; in war it’s hard to tell the difference.

A worthy successor to classic stories like Downbelow Station, Starship Troopers, and The Forever War, The Light Brigade is award-winning author Kameron Hurley’s gritty time-bending take on the future of war."
Q7291925,"With his vivid, stylized prose, cyberpunk intensity, and seemingly limitless imagination, Jack Womack has been compared to both William Gibson and Kurt Vonnegut - though Gibson admits, ""If you dropped the characters from Neuromancer into Womack's Manhattan, they'd fall down screaming and have nervous breakdowns"". Random Acts of Senseless Violence, Womack's fifth novel, is a thrilling, hysterical, and eerily disturbing piece ot work. 

Lola Hart is an ordinary twelve-year-old girl. She comes from a comfortable family, attends an exclusive private school, loves her friends Lori and Katherine, teases her sister Boob. But in the increasingly troubled city where she lives (a near-future Manhattan) she is a dying breed. Riots, fire, TB outbreaks, roaming gangs, increasing inflation, political and civil unrest all threaten her way of life, as well as the very fabric of New York City. 

In her diary, Lola chronicles the changes she and her family make as they attempt to adjust to a city, and a country, that is spinning out of control. Her mother is a teacher, but no one is hiring. Her father is a writer, but no one is buying his scripts. Hounded by creditors and forced to vacate their apartment and move to Harlem, her family, and her life, begins to dissolve. Increasingly estranged from her privileged school friends, Lola soon makes new ones: Iz, Jude, and Weezie - wise veterans of the street who know what must be done in order to survive and are more than willing to do it. And the metamorphosis of Lola Hart, who is surrounded by the new language and violence of the streets, begins. 

Simultaneously chilling and darkly hilarious, Random Acts of Senseless Violence takes the jittery urban fears we suppress, both in fiction and in daily life, and makes them explicit - and explicitly terrifying."
Q850150,"In a world where the slightest edge can mean the difference between success and failure, Leisha Camden is beautiful, extraordinarily intelligent ... and one of an ever-growing number of human beings who have been genetically modified to never require sleep.Once considered interesting anomalies, now Leisha and the other ""Sleepless"" are outcasts -- victims of blind hatred, political repression, and shocking mob violence meant to drive them from human society ... and, ultimately, from Earth itself.But Leisha Camden has chosen to remain behind in a world that envies and fears her ""gift"" -- a world marked for destruction in a devastating conspiracy of freedom ... and revenge."
Q2906934,Winner of the 1982 World Fantasy Award for best novel.
Q3818561,"When Larry Chao, a junior scientist, figures out a way to control artificial gravity via the ring and unauthorized surrounding Charon, he makes a grave mistake. He allows an otherwise unknown alien race called the Charonians to disappear the Earth via a created wormhole. This story is masterfully told in two separate perspectives. The remaining humans not located on Earth and Earth's destroyers, the Charonians."
Q2652159,The book depicts the arrival of members of an alien species called the Fithp that have traveled to the Solar System from Alpha Centauri in a large spacecraft driven by a Bussard ramjet. Their intent is conquest of the planet Earth.
Q6574423,"Yakoub was once the legendary King of the Rom, the Gypsy race that has evolved from the days of caravans into lords of the spaceways - the only pilots capable of steering ships safely between the many worlds of the Galaxy. Weary and proud, Yakoub has relinquished his power and lives in exile on a distant, icy world. In his absence, chaos fills the vacuum of power. The fate of the entire Galactic Empire hangs in the balance. Yakoub must journey across the cosmos and fight to regain his throne. Only then can he fulfill his dream - to return his people to their ancestral home of Romany Star.

The Rom need the Yakoub of legend once more. Can the once-mighty King overcome time and tyranny and inspire his people in their darkest hour?"
Q742226,Pet Sematary is a 1983 horror novel by American writer Stephen King. The novel was nominated for a World Fantasy Award for Best Novel in 1986
Q467225,"This is the story of a lie that became the most powerful kind of truth.  A timeless novel as urgently compelling as War Day or Alas, Babylon, David Brin's The Postman is the dramatically moving saga of a man who rekindled the spirit of America through the power of a dream, from a modern master of science fiction.He was a survivor--a wanderer who traded tales for food and shelter in the dark and savage aftermath of a devastating war.  Fate touches him one chill winter's day when he borrows the jacket of a long-dead postal worker to protect himself from the cold.  The old, worn uniform still has power as a symbol of hope, and with it he begins to weave his greatest tale, of a nation on the road to recovery.From the Paperback edition."
Q3157123,"Bug Jack Barron is a 1969 science fiction novel written by Norman Spinrad, and was a 1970 Hugo award nominee.
The story takes place in the not too distant future where an exploitative talk-show host Jack Barron gradually uncovers a conspiracy concerning an immortality treatment and the methods used in that treatment.
Although perhaps not as politically relevant as it was when first published it remains a powerful read."
Q1078499,"We are taken to the mysterious planet Equatoria, a world apparently engineered for humanity by the inscrutable machine intelligences known as the Hypotheticals. Turk Findley, a man with a criminal past, runs an aeronautical charter service on the newly settled planet. Lise Adams, who hires Turk, is a would-be journalist searching for her vanished father, a scientist obsessed with the Hypotheticals and their illegal life extension technology. Meanwhile, young Isaac, genetically manipulated by rogue scientists so that he may become a conduit between humanity and the AIs, is coming of age, and something enormous and unknown is assembling itself far underground."
Q4340237,"As long as the people of Pern could remember, the Holds had protected them from Thread, the deadly silver strands that fell from the sky. In exchange for sanctuary in the huge stone fortresses, the people tithed to their Lord Holders, who in turn supported the dragonriders, Pern's greatest weapon against Thread. But not everyone on Pern was protected. Some, like Jayge's trader clan, simply preferred the freedom of the roads to the security of a hold. Others, like Aramina's family, had lost their homes. Regardless of their differences, however, they all feared the outlaws who preyed on holds and holdless alike.

The Lady Thella's renegades are the most dangerous yet--all they need is Aramina, whose telepathic link with dragons can help them evade the dragonrider patrols. But Jayge is out to stop Thella . . .and he will never let her have Aramina."
Q662029,"The first of William Gibson's Sprawl trilogy, *Neuromancer* is the classic cyberpunk novel. The winner of the Hugo, Nebula, and Philip K. Dick Awards, *Neuromancer* was the first fully-realized glimpse of humankind’s digital future — a shocking vision that has challenged our assumptions about our technology and ourselves, reinvented the way we speak and think, and forever altered the landscape of our imaginations.

Henry Dorsett Case was the sharpest data-thief in the business, until vengeful former employees crippled his nervous system. But now a new and very mysterious employer recruits him for a last-chance run. The target: an unthinkably powerful artificial intelligence orbiting Earth in service of the sinister Tessier-Ashpool business clan. With a dead man riding shotgun and Molly, mirror-eyed street-samurai, to watch his back, Case embarks on an adventure that ups the ante on an entire genre of fiction.

Hotwired to the leading edges of art and technology, *Neuromancer* is a cyberpunk, science fiction masterpiece — a classic that ranks with *1984* and *Brave New World* as one of the twentieth century’s most potent visions of the future."
Q7742712,"""The Dream Archipelago is a vast network of islands. The names of the islands are different depending on who you talk to, their very locations seem to twist and shift. Some islands have been sculpted into vast musical instruments, others are home to lethal creatures, others the playground for high society. Hot winds blow across the archipelago and a war fought between two distant continents is played out across its waters"" -- Cover."
Q6980071,"Called ""fascinating"" by the New York Times upon its first publication in 1984, Native Tongue won wide critical praise and cult status, and has often been compared to the futurist fiction of Margaret Atwood. Set in the twenty-second century, the novel tells of a world where women are once again property, denied civil rights and banned from public life. Earth's wealth depends on interplanetary commerce with alien races, and linguists--a small, clannish group of families--have become the ruling elite by controlling all interplanetary communication. Their women are used to breed perfect translators for all the galaxies' languages.

Nazareth Chornyak, the most talented linguist of the family, is exhausted by her constant work translating for trade organizations, supervising the children's language education, running the compound, and caring for the elderly men. She longs to retire to the Barren House, where women past childbearing age knit, chat, and wait to die. What Nazareth comes to discover is that a slow revolution is going on in the Barren Houses: there, word by word, women are creating a language of their own to free them from men's control."
Q19902777,"""What would happen if the world were ending? A catastrophic event renders the earth a ticking time bomb. In a feverish race against the inevitable, nations around the globe band together to devise an ambitious plan to ensure the survival of humanity far beyond our atmosphere, in outer space. But the complexities and unpredictability of human nature coupled with unforeseen challenges and dangers threaten the intrepid pioneers, until only a handful of survivors remain . . . Five thousand years later, their progeny--seven distinct races now three billion strong--embark on yet another audacious journey into the unknown . . . to an alien world utterly transformed by cataclysm and time: Earth"" --"
Q25217632,"**A SEASON OF ENDINGS HAS BEGUN.**

IT STARTS WITH THE GREAT RED RIFT across the heart of the world's sole continent, spewing ash that blots out the sun.

IT STARTS WITH DEATH, with a murdered son and a missing daughter.

IT STARTS WITH BETRAYAL and long-dormant wounds rising up to fester.

This is the Stillness, a land familiar with catastrophe, where the power of the earth is wielded as a weapon. And where there is no mercy.

This description comes from the publisher."
Q7798123,"When Murdoch was summoned to his grandfather's isolated Scottish castle, he had no idea of the old man's latest discovery -- nor where it would lead him. Sir Charles, a genius in far-out physics, had found a flew in the law of conservation of energy; in any process, an incredibly tiny increment of energy escaped -- back through time! Using this ""tau"" radiation, he could send messages into the past.
But Murdoch discovered records of messages he knew he had never sent. Were many futures possible? Could a message from Future X alter the past -- and thus wipe out Future X? But who would be foolish enough to send a message that could eliminate his own existence?
Then disaster struck. An advanced fusion reactor threatened to destroy all Earth. Grimly, Murdoch sat down to send back the words that would destroy everything he had learned to love. (description from Goodreads)"
Q46751,"The fourth book in the Harry Potter franchise sees Harry returning for his fourth year at Hogwarts School of Witchcraft and Wizardry, along with his friends, Ron and Hermione . There is an upcoming tournament between the three major schools of magic, with one participant selected from each school by the Goblet of Fire. When Harry's name is drawn, even though he is not eligible and is a fourth player, he must compete in the dangerous contest.


----------
Contains:

 - [Harry Potter and the Goblet of Fire. 2/4](https://openlibrary.org/works/OL17910198W/Harry_Potter_and_the_Goblet_of_Fire._2_4)"
Q39058554,"Humanity will finally be saved or destroyed in the shattering conclusion to the post-apocalyptic and highly acclaimed NYT bestselling trilogy that won the Hugo Award three years in a row.

The Moon will soon return. Whether this heralds the destruction of humankind or something worse will depend on two women.

Essun has inherited the power of Alabaster Tenring. With it, she hopes to find her daughter Nassun and forge a world in which every orogene child can grow up safe.

For Nassun, her mother's mastery of the Obelisk Gate comes too late. She has seen the evil of the world, and accepted what her mother will not admit: that sometimes what is corrupt cannot be cleansed, only destroyed."
